Long Exact Matches:
   Start1     Start2    Length
  1876183    1882574        44
  3120210    3122735        40
  1095273    1095522        27
  1946863    3847878r       33
  1160661    1341173r       70
  1788819    3524497r       27
   104085    3524497r       27
  3752121    3766036        35
  3007038    3007091       130
  3007038    3007144        77
  3378001    3380440       269
  2358782    4221368        35
   366574     374666        28
  3757165    3758926        46
  1071282    3239617r       29
  1071282    3239696r       29
  1071282    3239775r       29
   272855    4134725r       29
  1814853    2637258        40
   361736    2046104r       27
  1996100    3890778      1357
  1996100    3710381      1357
  1541951    3711737r     1357
  1541951    3892134r     1357
  2635576    3121879r     1356
  2635576    3890778      1356
  2635576    3710381      1356
  1996100    2635576      1356
   832693    1468326r       29
   832693    4254172        29
  1211920    1216829        32
  1164572    1278820r      978
  4087496    4087553        67
  1451776    3572605r       32
  1895353    1895410       182
  1895353    1895467       125
  1895353    1895524        68
  1275925    2198815r       32
  2330155    3704903        31
    23181    4134717r       28
   272863     580646r       39
   272863     580723r       39
   272863     580800r       39
  3160530    3704903        30
  1340137    1532845r       33
  1782333    2975503        33
  1781390    2974542        36
   309128     339777r       50
  1786173    2978918        30
  2531965    2532018       158
  2531912    2532124        86
  2531965    2532071       105
  2531912    2532071        52
  2531912    2532018        52
  2531965    2532124        52
  2532071    2532177        33
  2532018    2532177        33
  2532124    2532177        33
  2531893    2531946        71
  2531893    2532158        52
  3732377    3735932        35
  3730649    3735932        35
  1189575    3949013r       29
   154104    3591514r       28
   737319     738348        39
  3477336    3491812r       34
  1702739    4053688        30
  1160981    2626349       162
  2626349    4060421        48
  1160981    1340829r       45
  3192199    3192252       102
  3192199    3192305        49
  3192305    3318813        29
  3192252    3318813        29
  2338029    2340622        66
   473989     476055        48
  1625382    1944792r       27
   642751    3073115r       48
   642751    4134661r       29
   960295    2687163r       32
   960295    3626630        32
  1830090    3192324        31
  3192324    3626630        31
   960295    1830090        31
   960242    2687217r       31
   960189    2687217r       31
  1830090    3192271        30
  3192271    3626630        30
  1830090    3192218        30
  3192218    3626630        30
  1830090    2996039r       29
  1830090    2996090r       29
  1830090    2996141r       29
   960242    1830090        29
   960189    1830090        29
   960242    2687163r       29
   960189    2687163r       29
   960242    3626630        29
   960189    3626630        29
   960295    2687217r       29
  3744871    3746680        34
  3744871    3762452        30
  3744871    3750307        28
   426538     433486        27
  3941225    3941561       166
  3941225    3941907        59
  3122083    3122510        39
  2636930    2639515        99
   839779    3742193r       28
   839779    3741854r       27
   839779    3936317        27
   839779    3935702        27
   839779    3935087        27
  3944276    3949810        28
  3944276    3949210        28
  3944276    3948610        28
   839389    3740933r       28
   840724    3740933r       27
  1188553    1190889        29
  1933657    3972340        28
  2923023    3944576        27
  3247386    3252800        29
  1625359    3192195        30
  1341255    2625923r       38
  2030943    4060019r       36
  1341255    4060019r       34
  2030943    2625923r       34
  3841778    3846705        30
  1094473    1096568        97
  1094473    2945102        65
  2867002    2867658        35
  1340666    2626512r      112
  4078057    4318021        27
  3317596    4318021        27
  1990891    2796881        30
  3802753    3927783        27
   837941     968658r       28
  1189746    1191470       391
  1275958    2198782r       29
  1357076    3909770        48
   786025    3219266r       37
  2068976    2069032        36
   335363    2062102        29
  1633353    1990484        28
  1990484    2062102        28
  1633353    2062102        28
   335363    1633353        28
  1489396    1990484        27
  1489396    1633353        27
   335363    1489396        27
  2387613    3054768r       27
  3759120    3760902        45
  3745559    3757770        27
   473309    2359172        27
  1340917    4060333r       37
  2030605    2626261r       29
  1340917    2030605        29
  1096634    2945168        59
  1094539    2945168        31
  1169297    2982945       150
  3120283    3122156        40
  3119482    3120283        31
  3317591    4078052        53
  2059540    3160561r       29
  2059463    3160561r       29
  1699864    1703072        31
  3743402    3769754        33
  2156807    2157486        58
   149710    3801830        30
   369249    3735649        29
  3842586    3847512        50
  3843383    3847512        29
  1340668    4060582r      116
   293727    3226336        41
   293727    1198139r       36
  1789048    2196776r       27
   104314    2196776r       27
   336955    3943878r       29
   335179    1091003r       28
   335179     673936        28
  1385291    3943887r       28
   673144    3739975        30
   333585     336640        41
   333585     840746r       38
   333585     839411r       32
   333585    1991230        30
   333585    2088624        28
  2088624    2795924        27
  1991230    2795924        27
   336640    2795924        27
  2061264    2088624        27
  1991230    2061264        27
   336640    2061264        27
   673315    3928312r       29
   673315    3928321r       29
   673315    3928330r       29
   673315    3928339r       29
   673204     673315        29
   673144     673315        29
  3739975    3928312r       29
  3739975    3928321r       29
  3739975    3928330r       29
  3739975    3928339r       29
   673204    3739975        29
  1479776    1481450        50
   361590    2424582r       27
  3317656    4078118        68
  2536689    2536707        34
  2550012    2972107      1357
  4078013    4317977        43
  1533472    3894587r      153
   798695    4107482        28
   102475     120254r       33
  1781787    2974939        50
   812894     812948        33
  3319484    3319583        46
  3319484    3704911        31
  3842842    3843640        52
   736242    2554916r       37
   253613    2554916r       30
  2296970    2303057        59
  3841663    3846591        76
  3752663    3766581        98
   334642    1656154        27
