   Start1     Start2    Length
  1806345    1991553r       47
   289574    1568005r       47
   144180    1568005r       44
   223566    1568005r       31
   181613     493427r       27
   181613     327909r       27
   181613    1031315r       27
   181613    1151353r       27
   181613     930396        27
   350402    1935858      1485
  1045308    1956678r     1488
   350402    1956678r     1484
  1045308    1935858      1484
  1356994    1956678r      233
  1356994    1935858       233
   189385    1956678r       98
   189385    1935858        98
   148307    1908340        82
   148307    1890279        61
   148307    1840981        61
  1890279    1991471        59
  1840981    1991471        59
  1908340    1991471        59
   148307    1806430r       35
   611382     982464r       53
   611382     754357r       53
   611382    1972264        53
   148307     982464r       29
   148307     754357r       29
  1972264    1991471        29
   148307    1972264        29
   611382    1806430r       29
   611382    1890279        29
   611382    1840981        29
   611382    1908340        29
   925001    1038780r       73
   467701    1038780r       73
   572122     925001        73
   572122    1692023r       73
   467701     572122        73
   125017    1038780r       72
   572122    1158818r       72
   125017     572122        72
   572122    1684770r       67
   572122    1783667r       42
  1056475    1164663r       57
   920673    1164663r       57
   690664    1164663r       57
   115216    1164663r       57
  1677335    1869710        57
  1056475    1869710        57
   920673    1869710        57
   690664    1869710        57
  1703457    1869710        57
   115216    1869710        57
   114480     367349r      125
  1702721    1959527        81
   114480    1959527        81
   114480     171266r       50
   567145    1043812r       50
   567145    1702721        50
   114480     567145        50
    67427    1043812r       44
    67427    1702721        44
    67427     187889r       44
    67427     114480        44
   737867    1840138r       50
   737867     892411        50
   193450    1755309r      153
  1738538    1755309r       66
   912522    1755309r       66
  1300130    1755309r       58
  1304664    1504571r      175
  1582186    1584568r      187
   124553     141648r       70
   124553    1685234r       70
   571659    1582186       115
   775713    1266283       234
   122514     775713       234
   674138    1266283       234
   122514     674138       234
  1266283    1674732        64
   122514    1674732        64
  1674732    1745869        33
   775713    1745869        33
   674138    1745869        33
   345473    1059000r       91
   413764    1059000r       52
  1040543    1059000r       52
   184620    1059000r       52
   609249    1889864r       64
    62078    1053548r       65
   437725    1053548r       50
   733938    1053548r       42
   977957    1053548r       42
   210758    1053548r       42
   367225    1043688       125
   367225    1702845r      125
   187765     367225       125
   720240    1310962r       71
   646417    1992093r       30
   877064    1487304r       60
   788608    1487304r       45
    53564    1797751        36
  1029981    1075041r       84
   326575    1075041r       27
   269143    1075041r       27
   784435    1753551r       27
   452827     645618        74
   452827    1189753r       66
   452827    1889198r       64
   452827     933593r       64
   452827    1028095        64
   452827     982633        64
   452827     580175r       57
   240376     452827        52
   452827    1076777r       46
   452827    1967735        40
   452827     821244r       39
   452827    1310793r       39
   452827    1972095r       39
   452827     599456        39
   452827     594005r       29
   452827     720409        27
   971767    1663683       111
   971767    1326005r       95
  1543273    1663683        60
   971767    1317990r       31
   425485    1860601r       37
   727448    1860601r       37
  1518178    1860601r       37
  1173804    1860601r       37
   904076    1860601r       37
   196214    1860601r       37
   565676    1440134r       64
   440279    1186571       102
   440279     736354        51
   213166     440279        51
   363609    1554521r       54
  1506206    1554521r       51
    53014     117548r       52
    53014    1697559        52
    53014    1695358        52
    53014    1478915r       51
    53014     174257r       51
    53014    1258217        51
    53014     413310        51
   933348    1028340r      497
  1076532    1148378r      112
   933348    1148378r       79
  1076532    1887965        58
   933348    1887965        58
   294150    1887965        50
   246258    1887965        50
   294150    1148378r       50
   246258    1148378r       50
   294150    1028340r       50
   246258    1028340r       50
  1076532    1888953        37
   933348    1888953        37
   294150    1888953        37
   246258    1888953        37
   435561    1634033r       30
    60140    1754831        42
   357591    1395588        30
  1806986    1844274r       50
  1531685    1806986        50
  1649216    1806986        39
   240942    1204368r       36
   398723    1204368r       34
  1354359    1868549r       36
   171661    1868549r       36
  1165824    1354359        36
   171661    1165824        36
   108747    1253959        46
   108747    1798128        46
   108747    1806844r       46
   108747    1844416        46
   108747    1204836r       46
   108747    1801131r       46
   108747     901507        46
   108747     623270        46
   108747     639806r       46
   108747    1267272r       46
   108747     226059r       46
   108747     408739r       46
   108747    1125565r       46
   108747    1841436        46
   108747    1495994        46
   108747     477783r       46
   108747    1503954        46
   108747     844514r       46
   108747    1249443        46
   108747    1775044r       46
   108747     830612        46
   108747     465409        46
   108747     247449        46
   108747     142018        45
   108747    1119441        38
   108747    1556421        37
   108747    1440436        34
   108747    1254160r       33
   108747    1267067        33
  1432744    1876100r       67
   706732    1432744        67
   891835    1432744        67
    66355    1432744        67
  1432744    1776432        63
  1432744    1794681        52
  1203918    1432744        47
   237365    1432744        47
    41969    1432744        47
   960683    1432744        46
   123335    1432744        46
  1214694    1432744        43
  1432744    1845322r       36
   108747     178644r       31
   108747    1559834r       28
  1432744    1559834r       28
  1267067    1432744        28
  1432744    1440436        28
  1432744    1556421        28
  1119441    1432744        28
   142018    1432744        28
  1253959    1432744        28
